Player,MIN,PTS,AS,Res_pts_min,Res_as_min
アンドリュー・ランダル,22.4775,10.25,1.25,0.40651366689708013,-0.9762312219533049
アンドレ・マレー,14.969999999999999,7.5,1.25,1.6747709181142874,-0.18890247374926505
ウィリアムスニカ,22.555833333333325,10.766666666666667,0.9666666666666667,0.8812537954780133,-1.2677795516603947
ウィル・クリークモア,32.24,17.25,2.25,2.1813073512116965,-1.0000469934274228
ウェイン・マーシャル,28.491363636363644,17.0,2.1818181818181817,3.9376989929510646,-0.6751007162840383
エドワード・モリス,11.735681818181819,2.6818181818181817,0.5909090909090909,-1.4122990137092817,-0.5088030151565944
エリエット・ドンリー,14.755471698113208,2.943396226415094,0.7547169811320755,-2.7670103573490183,-0.6616874174418494
エリック・ニッセン,6.7425,2.75,0.75,1.328395498119559,0.1739343262305867
カイル・コリンズワース,24.697115384615394,8.384615384615385,5.519230769230769,-2.646881020301599,3.0602233897997864
カイル・ハント,29.054285714285726,16.877551020408163,1.3673469387755102,3.513955877963868,-1.548606889056555
カイル・バローン,9.229,3.6,0.2,0.8475401327980028,-0.6368306331312974
カディーム・コールビー,26.46,12.342857142857143,2.4285714285714284,0.36780777239524376,-0.21531370476683653
キム・ティリ,17.31463414634146,5.829268292682927,1.4878048780487805,-1.2508849530373576,-0.19698475753005096
キム・ティリー,5.53,3.0,0.0,2.22736478444668,-0.4489080171330633
キング開,7.278571428571429,3.142857142857143,0.8571428571428571,1.4343298431042388,0.22485814283996464
ギャビン・エドワーズ,25.902075471698108,12.79245283018868,1.6603773584905661,1.116022744639336,-0.9249969496115673
ギャレット・スタツ,19.25980769230769,11.461538461538462,1.5961538461538463,3.3402653082651064,-0.2926306016774265
グレゴリー・エチェニケ,32.47490909090909,17.09090909090909,2.0,1.8964854853545852,-1.2746824487037727
ケドリック・ストックマン・ジュニア,8.410400000000003,2.12,1.24,-0.19431862366601482,0.48901782684603523
ケビン・ジョーンズ,28.915744680851063,16.04255319148936,1.7234042553191489,2.7531096990204187,-1.1780204565050565
コー・フリッピン,8.662692307692303,2.75,1.3269230769230769,0.30064635871015444,0.5494824306692936
サーディ・ラベナ,19.50142857142857,7.761904761904762,1.380952380952381,-0.488691714655034,-0.5331714027827483
ザック・バランスキー,15.536785714285715,3.3392857142857144,1.0892857142857142,-2.7893054463632216,-0.40905687760254583
シェーファーアヴィ幸樹,25.319818181818185,9.472727272727273,1.309090909090909,-1.8920598455048427,-1.2152207412458114
シェーン・ウィティングトン,18.829400000000003,9.66,0.82,1.7690949893300445,-1.0236466057264444
シャノン・ショーター,24.330185185185183,11.907407407407407,3.5925925925925926,1.07230393416555,1.1720660249625618
ジェイソン・ウォッシュバーン,29.25521739130436,17.02173913043478,1.7826086956521738,3.5505988440438525,-1.1544172981128407
ジェフ・エアーズ,26.05464285714286,13.25,1.3928571428571428,1.4919109064103484,-1.2085172569664664
ジェフ・ギブス,19.827333333333325,9.116666666666667,2.2333333333333334,0.6916354018644455,0.28503116954835983
ジェームズ・マイケル・マカドゥ,20.281599999999997,10.4,1.28,1.7318304964605655,-0.7159421512664912
ジャスティン・ハーパー,24.635714285714283,12.314285714285715,1.1714285714285715,1.3156531669634148,-1.28113953389836
ジャスティン・バーレル,26.67723404255318,13.02127659574468,2.765957446808511,0.9299565270875707,0.0992904810638926
ジャック・クーリー,28.08636363636364,16.363636363636363,1.6727272727272726,3.5181044790307165,-1.141718346251053
ジャマリ・トレイラー,26.846896551724143,12.862068965517242,2.2413793103448274,0.6799400247008336,-0.44308055196492324
ジャマール・ソープ,8.935714285714287,3.5,0.42857142857142855,0.9045161498618697,-0.37750165886626935
ジャワッド・ウィリアムズ,24.43306122448979,10.040816326530612,1.469387755102041,-0.8493497362433455,-0.9619276587811882
ジュリアン・マブンガ,33.32163636363636,19.90909090909091,7.1454545454545455,4.261471432282363,3.7819738651548245
ジョシュア・スミス,26.65509433962265,15.981132075471699,2.5660377358490565,3.901661893173616,-0.09830738845781228
ジョシュ・スコット,23.18949152542373,11.796610169491526,0.9661016949152542,1.5720429026771026,-1.3347977117125427
ジョシュ・ダンカン,23.597678571428577,13.535714285714286,1.4821428571428572,3.092672086171003,-0.8615640614348701
ジョシュ・ハレルソン,29.662407407407418,12.62962962962963,3.0185185185185186,-1.059451946781861,0.03878957361669366
ジョシュ・ホーキンソン,25.849361702127663,15.808510638297872,2.276595744680851,4.160294670206461,-0.3032503494740273
ジョナサン・オクテウス,18.294181818181816,12.527272727272727,1.8909090909090909,4.92283382916677,0.10339204377165157
ジョーダン・テイラー,22.633469387755106,13.673469387755102,4.6938775510204085,3.7465031847467714,2.451289461558695
ジョーダン・ハミルトン,32.92555555555557,20.85185185185185,6.018518518518518,5.416227656979846,2.6965757412243105
ジョーダン・ヒース,26.238409090909098,10.681818181818182,1.0454545454545454,-1.1746285543102744,-1.5751918408883236
ジョーダン・フェイゾン,33.8875,21.0,2.0,5.049511970408453,-1.422824098011659
ジージオ・ベイン,17.475,4.5,0.5,-2.6659862466275186,-1.2016075705526112
ステヴァン・イェロヴァツ,30.863076923076907,18.846153846153847,1.8846153846153846,4.5144350419495645,-1.2210305268903445
セドリック・シモンズ,13.27736842105263,4.7368421052631575,0.7368421052631579,-0.18243571245412404,-0.5245502116798121
セバスチャン・サイズ,27.99842105263156,17.087719298245613,1.2456140350877194,4.289257133889345,-1.5596088433826332
ダバンテ・ガードナー,29.91127272727272,19.545454545454547,4.890909090909091,5.723172186342392,1.8850810689828306
チャールズ・ジャクソン,25.957500000000003,15.566666666666666,1.5666666666666667,3.8605715777547687,-1.02452013886973
チリジ・ネパウェ,15.369230769230768,6.384615384615385,0.5384615384615384,0.3457050595234712,-0.9423091819454684
テーブス海,16.348333333333336,5.95,2.6166666666666667,-0.6129577413943457,1.03321521417065
ディージェイ・ニュービル,30.40580000000001,19.34,6.0,5.253030621299285,2.9423097684714574
デイヴィッド・サイモン,28.93982456140352,17.80701754385965,2.175438596491228,4.504685719104549,-0.7285114276489635
デション・トーマス,24.66,16.6,1.711111111111111,5.5883689515082615,-0.7440038927876238
デモン・ブルックス,30.75142857142857,17.946428571428573,2.4107142857142856,3.674467582555277,-0.683222807017906
トーマス・ケネディ,27.45923076923077,16.307692307692307,2.3653846153846154,3.7978222533674835,-0.3832921410912351
ドウェイン・エバンス,26.62230769230769,17.21153846153846,2.673076923076923,5.149616755206603,0.012170209690905764
ナナーダニエル弾,1.3964705882352941,0.7058823529411765,0.0,2.1456460094415535,-0.015415304854770023
ニック・ファジーカス,29.979285714285712,20.660714285714285,3.7142857142857144,6.802029172257555,0.7013250143805592
ニック・メイヨ,33.62272727272728,21.490909090909092,2.2181818181818183,5.682136003880071,-1.1768749564968806
ネナド・ミリェノヴィッチ,11.759250000000002,5.35,2.45,1.2432683499285586,1.3478162446384967
ハビエル・カーター,21.97350877192983,8.912280701754385,1.4035087719298245,-0.6614531962179555,-0.7698677337128172
ハーパージャンジュニア,3.3280000000000003,1.8,0.2,2.205946531656842,-0.017979225452038228
